waste_type,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate,year
Food waste,515100,32900,548000,0.059999999,2003
Paper/Cardboard,618500,466200,1084700,0.430000007,2003
Plastics,540800,39100,579900,0.07,2003
Construction Debris,24600,398300,422900,0.939999998,2003
Wood/Timber,172600,40800,213400,0.189999998,2003
Horticultural Waste,185300,119300,304600,0.389999986,2003
Ferrous Metals,57700,799000,856700,0.930000007,2003
Non-ferrous Metals,18100,75800,93900,0.810000002,2003
Used Slag,21800,238500,260300,0.920000017,2003
Sludge,88500,0,88500,0,2003
Glass,59300,6200,65500,0.090000004,2003
Textile/Leather,90700,900,91600,0.01,2003
Scrap Tyres,8200,6200,14400,0.430000007,2003
"Others (stones, ceramics & rubber etc)",103800,0,103800,0,2003
Food waste,500000,31100,531100,0.059999999,2004
Paper/Cardboard,612200,519900,1132100,0.460000008,2004
Plastics,609000,74100,683100,0.109999999,2004
Construction Debris,38000,471000,509000,0.930000007,2004
Wood/Timber,148600,73700,222300,0.330000013,2004
Horticultural Waste,99100,127900,227000,0.560000002,2004
Ferrous Metals,70300,649900,720200,0.899999976,2004
Non-ferrous Metals,15100,71800,86900,0.829999983,2004
Used Slag,7600,259600,267200,0.970000029,2004
Sludge,93900,0,93900,0,2004
Glass,68700,4900,73600,0.07,2004
Textile/Leather,109500,5000,114500,0.039999999,2004
Scrap Tyres,7500,7200,14700,0.49000001,2004
Others,103100,11000,114100,0.100000001,2004
Food waste,495000,36500,531500,0.07,2005
Paper/Cardboard,558100,540500,1098600,0.49000001,2005
Plastics,588800,86000,674800,0.129999995,2005
Construction Debris,27200,465300,492500,0.939999998,2005
Wood/Timber,149300,90000,239300,0.379999995,2005
Horticultural Waste,98500,101000,199500,0.50999999,2005
Ferrous Metals,69200,749100,818300,0.920000017,2005
Non-ferrous Metals,14700,74700,89400,0.839999974,2005
Used Slag,83500,298900,382400,0.779999971,2005
Sludge,98300,0,98300,0,2005
Glass,58800,3800,62600,0.059999999,2005
Textile/Leather,85000,4000,89000,0.039999999,2005
Scrap Tyres,6000,10800,16800,0.639999986,2005
"Others (stones, ceramics & rubber etc)",216400,8800,225200,0.039999999,2005
Food waste,498000,44700,542700,0.079999998,2006
Paper/Cardboard,544900,571400,1116300,0.50999999,2006
Plastics,579000,77800,656800,0.119999997,2006
Construction Debris,15000,604000,619000,0.980000019,2006
Wood/Timber,142000,81700,223700,0.370000005,2006
Horticultural Waste,144000,87000,231000,0.379999995,2006
Ferrous Metals,68500,657400,725900,0.910000026,2006
Non-ferrous Metals,16000,70700,86700,0.819999993,2006
Used Slag,53600,417000,470600,0.889999986,2006
Sludge,126800,0,126800,0,2006
Glass,56600,6400,63000,0.100000001,2006
Textile/Leather,87700,4100,91800,0.039999999,2006
Scrap Tyres,4500,19400,23900,0.810000002,2006
"Others (stones, ceramics & rubber etc)",227000,15300,242300,0.059999999,2006
Food waste,507700,51200,558900,0.090000004,2007
Paper/Cardboard,583900,619000,1202900,0.50999999,2007
Plastics,584800,75000,659800,0.109999999,2007
Construction Debris,19000,759300,778300,0.980000019,2007
Wood/Timber,118400,127800,246200,0.519999981,2007
Horticultural Waste,133500,91100,224600,0.409999996,2007
Ferrous Metal,68500,668000,736500,0.910000026,2007
Non-ferrous Metals,16700,75600,92300,0.819999993,2007
Used Slag,7200,520000,527200,0.99000001,2007
Sludge,124600,0,124600,0,2007
Glass,59500,5800,65300,0.090000004,2007
Textile/Leather,104100,6000,110100,0.050000001,2007
Scrap Tyres,3500,22000,25500,0.860000014,2007
"Others (stones, ceramics & rubber etc)",234600,14000,248600,0.059999999,2007
Food waste,500000,68000,568000,0.119999997,2008
Paper/Cardboard,653900,608600,1262500,0.479999989,2008
Plastics,623200,61200,684400,0.090000004,2008
Construction Debris,22000,900000,922000,0.980000019,2008
Wood/Timber,79400,190200,269600,0.709999979,2008
Horticultural Waste,133300,96000,229300,0.419999987,2008
Ferrous Metal,49800,735000,784800,0.939999998,2008
Non-ferrous Metals,13000,72000,85000,0.850000024,2008
Used Slag,5700,560500,566200,0.99000001,2008
